input_name,station,type,rank,wind_speed_ms,wind_dir,date,stat_period
ユシロ,横浜,最大瞬間風速,1,48.7,北東,1938/9/1,1938/1 2026/4
ユシロ,横浜,最大瞬間風速,2,44.3,南南西,1949/8/31,1938/1 2026/4
ユシロ,横浜,最大瞬間風速,3,43.8,南南東,2019/10/12,1938/1 2026/4
ユシロ,横浜,最大瞬間風速,4,43.4,南西,2004/12/5,1938/1 2026/4
ユシロ,横浜,最大瞬間風速,5,42.2,南南東,1958/7/23,1938/1 2026/4
ユシロ,横浜,最大瞬間風速,6,41.8,北,2019/9/9,1938/1 2026/4
ユシロ,横浜,最大瞬間風速,7,41.5,北北西,1996/9/22,1938/1 2026/4
ユシロ,横浜,最大瞬間風速,8,41.4,南南東,1966/9/25,1938/1 2026/4
ユシロ,横浜,最大瞬間風速,9,40.8,南東,1982/8/2,1938/1 2026/4
ユシロ,横浜,最大瞬間風速,10,39.9,西,2004/10/9,1938/1 2026/4
