input_name,station,type,rank,wind_speed_ms,wind_dir,date,stat_period
ユシロ,横浜,最大風速,1,37.4,北東,1938/9/1,1896/8 2026/4
ユシロ,横浜,最大風速,2,36.3,北北西,1932/11/14,1896/8 2026/4
ユシロ,横浜,最大風速,3,33.6,北北西,1932/11/15,1896/8 2026/4
ユシロ,横浜,最大風速,4,32.8,北,1938/10/21,1896/8 2026/4
ユシロ,横浜,最大風速,5,32.5,南南東,1949/8/31,1896/8 2026/4
ユシロ,横浜,最大風速,6,31.9,北東,1938/8/31,1896/8 2026/4
ユシロ,横浜,最大風速,7,30.0,北,1951/2/15,1896/8 2026/4
ユシロ,横浜,最大風速,8,30.0,北,1949/10/28,1896/8 2026/4
ユシロ,横浜,最大風速,9,29.3,北北西,1945/8/22,1896/8 2026/4
ユシロ,横浜,最大風速,10,29.2,南南東,1958/7/23,1896/8 2026/4
