台風,番号,被害箇所,施工業者,金額（税抜き・円）,保険申請,備考
台風15号,1,A工場　屋根末端返し部分破損,原建設工業,667000,対象,
台風15号,2,C-1工場　外壁破損,原建設工業,60000,対象,
台風15号,3,C-3工場　屋根一部破損,原建設工業,60000,対象,
台風15号,4,危険物倉庫　看板破損,シルバピア,6000,対象,看板本体は別途購入済み
台風15号,5,事務棟階段　1階雨漏り,原建設工業/DAN総合設計,,対象外,費用未定（保険対象外）
台風15号,6,工場入口　樹木破損,シルバピア,41000,対象外,植木は保険対象外
台風15号,7,物流センター事務所　階段庇破損,原建設工業,230000,対象外,賃貸物件のため大家負担
台風15号,8,物流センター　1階大シャッター不具合,—,0,,自然復旧のため修理不要
台風15号,9,容器準備-B工場　架空線一部脱落,シルバピア,4000,対象,
台風15号,10,B工場　電話不通,—,0,,コネクター清掃で復旧・修理不要
台風15号,11,技術部倉庫　破損,原建設工業,80000,対象,
台風19号,19-1,入口看板　照明用電線断線,シルバピア,23150,対象,架空線廃止・強化型復旧
台風19号,19-2,C-1工場　シャッター破損,文化シャッター,444888,対象,
台風19号,19-3,A工場　表示板脱落,シルバピア,17500,対象,
台風19号,19-4,B工場　明り取り用アクリル板破損,原建設工業,364000,対象,
台風19号,19-5,旧集会所　雨樋破損,原建設工業,230000,対象,個票230000円・集計表330000円（差異あり・要確認）
台風19号,19-6,旧集会所　窓ガラス脱落,シルバピア,91200,対象,個票91200円・集計表86200円（差異あり・要確認）
台風19号,19-7,地下浄化設備　塩ビ配管・支柱破損,原建設工業,44000,対象,支柱のみ補修・配管はホースのまま
台風19号,19-8,表面処理課　保管用テント破損,—,0,,客先備品のため自力復旧
台風19号,19-9,警備システム故障（HDD異常）,全日警,134000,降りず,物理的損傷なしとして不支給
台風19号,19-10,物流センター　機械警備故障,—,0,,リース品のため無償交換
,,,,,,
【集計】,,,,,,
台風15号　保険申請合計（6件）,,,原建設工業4件+シルバピア2件,877000,,
台風19号　保険申請合計（7件）,,,文化シャッター1件+原建設工業3件+シルバピア3件,1309738,,
保険申請総合計（13件）,,,,2186738,,
,,,,,,
保険対象外（No.5雨漏り費用未定・No.6樹木・No.7物流センター庇）,,,,271000,,No.5を除く2件の合計
保険降りず（19-9警備システム）,,,,134000,,
修理不要（No.8・No.10・19-8・19-10）,,,,0,,
